id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl,ip_id
25.0,5919707.0,1207333800.0,1204451000000.0,805496.0,9.69,20.19,1054714.0,12.69,204.73,3007570.0,36.19,114.02,0.72,0.72,0.48,0.44,26.03,129.9,0.0
26.0,5206872.0,1186186100.0,1187836200000.0,782180.0,9.24,18.8,867497.0,10.25,43.81,2794907.0,33.02,106.06,0.72,0.72,0.47,0.43,26.03,132.45,0.0
27.0,7263933.0,1506851300.0,1523781100000.0,924452.0,10.09,21.56,1165514.0,12.72,131.9,3526727.0,38.49,131.55,0.72,0.72,0.47,0.43,27.33,129.55,0.0
28.0,7024967.0,1434078800.0,1442516600000.0,904715.0,9.94,21.24,1005717.0,11.05,65.74,3495374.0,38.39,127.22,0.72,0.72,0.47,0.43,25.22,132.26,0.0
29.0,7388907.0,1571039000.0,1580473600000.0,964157.0,10.45,23.41,968893.0,10.5,52.07,3694819.0,40.06,136.35,0.73,0.73,0.46,0.41,23.32,137.9,0.0
30.0,7659220.0,1703420900.0,1718011800000.0,981831.0,10.61,22.96,1027485.0,11.11,94.36,3795500.0,41.03,139.66,0.73,0.73,0.46,0.41,23.85,136.19,0.0
31.0,6754365.0,1475887200.0,1488313800000.0,914869.0,10.0,21.04,968225.0,10.58,57.07,3463569.0,37.86,124.76,0.73,0.73,0.46,0.42,25.01,134.93,0.0
32.0,5909334.0,1262449300.0,1256551100000.0,861818.0,9.79,19.18,1215530.0,13.8,218.5,3045569.0,34.59,105.16,0.72,0.73,0.45,0.41,23.99,139.4,0.0
33.0,5843843.0,1357616600.0,1365673800000.0,883861.0,9.87,19.15,1107528.0,12.36,195.75,3095005.0,34.55,107.56,0.72,0.72,0.45,0.41,24.54,136.77,0.0
34.0,6526631.0,1486449500.0,1497424500000.0,927046.0,9.94,20.31,1149801.0,12.33,145.23,3320967.0,35.61,116.93,0.72,0.72,0.46,0.41,25.32,136.15,0.0
35.0,7014680.0,1443804000.0,1448568600000.0,920414.0,10.01,21.71,1006446.0,10.95,60.08,3565389.0,38.78,130.98,0.73,0.72,0.46,0.42,24.93,133.93,0.0
36.0,7389765.0,1579053000.0,1602221500000.0,908791.0,9.86,21.11,938935.0,10.18,68.93,3608269.0,39.13,131.01,0.72,0.72,0.47,0.42,24.91,131.18,0.0
37.0,7232937.0,1618744600.0,1637128000000.0,931451.0,10.21,21.42,970487.0,10.64,58.58,3569259.0,39.12,132.02,0.73,0.73,0.46,0.41,23.41,136.19,0.0
38.0,6718442.0,1562873600.0,1574945000000.0,926692.0,10.42,21.86,1074546.0,12.08,60.92,3535142.0,39.75,124.3,0.72,0.72,0.45,0.41,23.45,135.7,0.0
39.0,6243728.0,1525814900.0,1538332800000.0,928342.0,10.51,21.61,1187294.0,13.44,89.96,3329491.0,37.69,116.32,0.71,0.71,0.45,0.41,23.84,136.57,0.0
40.0,5997775.0,1517182000.0,1522186300000.0,890942.0,10.18,20.03,1063316.0,12.16,67.29,3218061.0,36.79,114.48,0.71,0.71,0.45,0.41,24.56,134.81,0.0
41.0,6841130.0,1620469600.0,1635298600000.0,939704.0,10.2,20.98,1077619.0,11.7,102.13,3510451.0,38.1,126.96,0.71,0.71,0.46,0.41,26.19,132.86,0.0
42.0,7172815.0,1460055600.0,1446239300000.0,979726.0,10.7,22.54,1049342.0,11.46,68.77,3647034.0,39.82,132.48,0.74,0.74,0.44,0.4,22.3,147.29,0.0
43.0,8309044.0,1822530200.0,1788227600000.0,996837.0,10.53,22.44,1194416.0,12.62,141.46,4059614.0,42.88,147.77,0.73,0.73,0.46,0.41,25.88,134.24,0.0
44.0,7956803.0,1734658400.0,1750163500000.0,983792.0,10.42,22.11,1072509.0,11.36,132.9,3916911.0,41.48,141.55,0.73,0.73,0.46,0.41,26.36,136.27,0.0
45.0,7751861.0,1697390500.0,1702802400000.0,959882.0,10.5,21.57,1330619.0,14.55,222.66,3703877.0,40.51,134.76,0.72,0.72,0.46,0.41,24.55,140.53,0.0
46.0,6111806.0,1386335100.0,1384643400000.0,869839.0,10.08,20.16,1117055.0,12.95,225.05,3228781.0,37.43,117.32,0.71,0.7,0.46,0.42,25.39,134.95,0.0
47.0,6141206.0,1429370600.0,1425933200000.0,871027.0,9.93,19.81,1289443.0,14.69,214.02,3162438.0,36.04,113.84,0.71,0.71,0.46,0.41,26.06,133.97,0.0
48.0,4913413.0,972146400.0,887848300000.0,828512.0,9.78,19.21,927879.0,10.96,71.3,2730364.0,32.24,99.16,0.75,0.75,0.43,0.39,22.04,156.75,0.0
49.0,6679571.0,1355994600.0,1326376200000.0,923067.0,10.28,21.9,967299.0,10.77,57.86,3490358.0,38.86,131.13,0.75,0.74,0.44,0.4,23.74,149.03,0.0
50.0,7228552.0,1540325400.0,1538359600000.0,978427.0,10.56,21.48,1022813.0,11.04,63.77,3673972.0,39.67,134.09,0.76,0.76,0.43,0.39,23.13,149.31,0.0
51.0,9010071.0,1894076500.0,1894258800000.0,1059742.0,11.17,23.11,1316955.0,13.88,125.57,4245289.0,44.74,152.4,0.73,0.73,0.45,0.4,24.65,140.2,0.0
52.0,7759605.0,1586022700.0,1585989700000.0,1010781.0,11.05,21.63,1174053.0,12.83,106.12,3864687.0,42.24,134.51,0.74,0.74,0.44,0.4,21.76,148.54,0.0
53.0,6762187.0,1526799100.0,1519126800000.0,948401.0,10.86,21.29,1128115.0,12.92,160.1,3442812.0,39.42,120.7,0.72,0.72,0.44,0.4,23.97,145.66,0.0
54.0,5152134.0,1130191400.0,1118751800000.0,846385.0,10.1,19.09,980710.0,11.7,113.08,2739352.0,32.68,99.91,0.73,0.73,0.43,0.39,22.22,152.65,0.0
55.0,6197875.0,1405440000.0,1403445800000.0,937936.0,10.65,21.61,1014329.0,11.52,67.49,3194488.0,36.27,121.57,0.74,0.74,0.42,0.39,22.63,154.94,0.0
56.0,6696776.0,1370380000.0,1368810500000.0,926671.0,10.47,21.63,910223.0,10.29,63.7,3418309.0,38.64,129.46,0.74,0.74,0.44,0.4,21.76,150.84,0.0
57.0,7259796.0,1528246100.0,1526622000000.0,957795.0,10.66,22.19,873837.0,9.73,38.84,3596067.0,40.04,137.08,0.75,0.75,0.43,0.38,21.88,153.95,0.0
58.0,7614767.0,1650097300.0,1624429200000.0,1008449.0,10.96,22.69,941256.0,10.23,46.46,3817015.0,41.47,137.77,0.75,0.75,0.43,0.38,22.08,151.53,0.0
59.0,6730150.0,1426560300.0,1410160400000.0,928836.0,10.59,21.62,869940.0,9.92,53.49,3433105.0,39.16,128.15,0.74,0.74,0.43,0.39,21.53,150.66,0.0
60.0,6322406.0,1423354400.0,1410744000000.0,909036.0,10.62,21.27,939377.0,10.97,51.31,3270649.0,38.2,118.19,0.73,0.73,0.44,0.4,22.02,144.54,0.0
61.0,6343837.0,1470834600.0,1478764400000.0,920461.0,10.63,20.38,1144010.0,13.21,231.49,3165552.0,36.54,114.97,0.74,0.74,0.41,0.37,19.94,156.72,0.0
62.0,7157343.0,1634834600.0,1636386100000.0,954405.0,10.38,21.77,970252.0,10.56,65.19,3543786.0,38.56,131.0,0.72,0.72,0.46,0.41,24.92,134.5,0.0
63.0,7401678.0,1529287700.0,1523366500000.0,983925.0,10.9,22.48,975672.0,10.81,58.77,3673440.0,40.69,137.54,0.75,0.75,0.43,0.38,22.04,152.63,0.0
64.0,8580402.0,1849140600.0,1852566500000.0,1016402.0,10.87,22.96,1089911.0,11.65,75.12,4107614.0,43.91,149.51,0.75,0.74,0.44,0.39,24.41,143.4,0.0
65.0,8971398.0,1965259100.0,1992923800000.0,1007670.0,10.77,23.23,1215799.0,13.0,147.63,4183964.0,44.73,152.09,0.73,0.73,0.46,0.41,25.61,131.83,0.0
66.0,7381492.0,1634551300.0,1656289400000.0,949642.0,10.42,21.44,1042336.0,11.43,108.86,3706992.0,40.66,130.94,0.73,0.73,0.46,0.41,24.96,135.59,0.0
67.0,6133338.0,1415976800.0,1435230900000.0,911552.0,10.44,20.63,1008941.0,11.56,82.14,3257770.0,37.32,113.7,0.72,0.72,0.45,0.41,23.07,140.54,0.0
68.0,6479469.0,1510037000.0,1527738300000.0,994596.0,11.14,21.84,1160608.0,13.0,242.81,3352490.0,37.55,115.41,0.73,0.73,0.43,0.39,22.1,148.14,0.0
69.0,6793874.0,1503012200.0,1522674600000.0,1007443.0,11.11,22.83,1261475.0,13.91,182.71,3487133.0,38.45,125.49,0.74,0.74,0.44,0.39,23.33,148.3,0.0
70.0,7723069.0,1608657800.0,1616646100000.0,1020402.0,11.1,22.34,1151299.0,12.52,103.46,3873132.0,42.13,137.61,0.73,0.73,0.45,0.41,23.26,144.18,0.0
71.0,7501806.0,1562715100.0,1571093100000.0,993572.0,10.97,22.72,1034663.0,11.42,65.5,3827474.0,42.25,138.26,0.73,0.73,0.45,0.41,23.82,143.53,0.0
72.0,6551134.0,1372848400.0,1373707200000.0,914209.0,10.66,21.45,947507.0,11.04,46.0,3470497.0,40.45,125.22,0.72,0.73,0.46,0.41,23.75,140.67,0.0
73.0,6789810.0,1385334400.0,1387386800000.0,990323.0,11.7,23.9,1411788.0,16.68,181.05,3478909.0,41.1,122.93,0.73,0.72,0.44,0.4,22.72,146.2,0.0
74.0,4785650.0,857436400.0,835514500000.0,836456.0,11.18,22.17,1376256.0,18.39,188.96,2544674.0,34.0,97.06,0.71,0.71,0.43,0.4,20.61,150.03,0.0
75.0,3108089.0,618593150.0,611018500000.0,677365.0,9.8,16.57,926425.0,13.4,95.71,1903705.0,27.54,68.03,0.7,0.7,0.43,0.41,19.59,150.32,0.0
76.0,5234353.0,607557760.0,569267450000.0,616514.0,9.03,14.93,2174024.0,31.84,864.88,1819874.0,26.66,65.15,0.68,0.68,0.45,0.43,19.81,141.42,0.0
77.0,3321760.0,676296260.0,650020400000.0,663693.0,9.31,14.72,809860.0,11.37,55.88,1903734.0,26.72,65.77,0.69,0.69,0.43,0.41,19.17,147.46,0.0
78.0,3340797.0,651840500.0,624613460000.0,681044.0,9.65,15.32,912863.0,12.93,137.06,1918711.0,27.18,67.45,0.7,0.7,0.43,0.41,18.24,149.2,0.0
79.0,2777486.0,497466620.0,480597640000.0,617730.0,9.12,14.89,703686.0,10.39,73.62,1707041.0,25.2,63.29,0.7,0.7,0.44,0.41,18.81,149.05,0.0
80.0,3035698.0,568015940.0,562111400000.0,617538.0,9.06,15.6,761665.0,11.17,126.95,1834611.0,26.91,69.96,0.69,0.69,0.45,0.43,20.41,141.69,0.0
81.0,2898688.0,612958200.0,592628740000.0,611600.0,8.87,15.0,663371.0,9.63,57.25,1766752.0,25.64,66.75,0.69,0.69,0.46,0.43,20.57,138.54,0.0
82.0,3347166.0,700434560.0,687974100000.0,646111.0,8.98,15.59,761459.0,10.59,60.43,1983024.0,27.57,72.19,0.69,0.69,0.46,0.43,20.92,137.85,0.0
83.0,2963328.0,571930000.0,563884000000.0,596844.0,8.59,14.15,618656.0,8.91,59.78,1796923.0,25.87,65.48,0.68,0.68,0.46,0.43,20.03,138.21,0.0
84.0,3975306.0,875261250.0,869250300000.0,720797.0,9.65,17.94,802576.0,10.74,91.63,2248115.0,30.09,85.56,0.7,0.7,0.45,0.41,20.63,143.72,0.0
85.0,4330022.0,825114560.0,812051700000.0,737915.0,9.64,18.16,843182.0,11.02,153.1,2344689.0,30.64,91.08,0.74,0.73,0.44,0.4,19.29,156.3,0.0
86.0,4668841.0,891760060.0,875135570000.0,798682.0,10.0,19.26,781691.0,9.79,69.97,2599410.0,32.54,99.65,0.75,0.75,0.43,0.4,19.61,157.2,0.0
87.0,4544092.0,886792700.0,865784370000.0,779488.0,9.7,19.28,847373.0,10.54,114.63,2523119.0,31.39,98.29,0.75,0.74,0.44,0.4,20.38,155.05,0.0
88.0,3922377.0,791594800.0,783647800000.0,731546.0,9.41,17.53,734080.0,9.44,84.9,2278543.0,29.3,84.95,0.74,0.73,0.44,0.4,20.09,153.81,0.0
89.0,3844012.0,826235800.0,815028760000.0,737406.0,9.26,17.08,691506.0,8.69,62.64,2233485.0,28.05,83.92,0.74,0.74,0.43,0.4,20.4,152.55,0.0
90.0,4022251.0,851548100.0,866027200000.0,726009.0,8.94,17.65,728165.0,8.96,107.23,2318113.0,28.54,89.26,0.73,0.73,0.46,0.42,23.39,141.31,0.0
91.0,4403256.0,893666200.0,897745350000.0,730217.0,9.28,18.45,690976.0,8.79,54.42,2481213.0,31.55,102.11,0.73,0.73,0.46,0.42,24.22,140.93,0.0
92.0,5060667.0,1084926700.0,1103523300000.0,781223.0,9.9,19.36,771277.0,9.77,82.85,2716257.0,34.42,112.34,0.75,0.75,0.43,0.4,22.84,149.07,0.0
93.0,5751118.0,1163599100.0,1184051200000.0,888610.0,10.39,19.46,1219981.0,14.26,194.96,2951361.0,34.51,108.26,0.77,0.77,0.41,0.38,21.32,155.02,0.0
94.0,5365984.0,1067326340.0,1072277160000.0,834220.0,9.9,19.05,1277976.0,15.17,239.34,2723131.0,32.33,102.88,0.77,0.77,0.41,0.38,21.71,151.91,0.0
95.0,5885566.0,1199049700.0,1188415300000.0,907347.0,10.73,19.93,1294885.0,15.31,161.2,3001550.0,35.49,106.22,0.77,0.76,0.41,0.38,20.95,153.12,0.0
96.0,5083041.0,1116097900.0,1124000200000.0,881025.0,10.47,18.63,996575.0,11.85,126.93,2761900.0,32.84,98.79,0.76,0.76,0.4,0.37,20.64,155.43,0.0
97.0,4984132.0,1054186200.0,1056041530000.0,815329.0,9.63,17.95,1042059.0,12.31,168.08,2596167.0,30.68,97.12,0.76,0.76,0.41,0.38,22.23,153.73,0.0
98.0,4615049.0,873720640.0,865137400000.0,751261.0,9.16,18.05,927724.0,11.32,136.75,2485069.0,30.31,95.54,0.76,0.76,0.44,0.4,22.99,150.55,0.0
99.0,4683920.0,979911040.0,979876000000.0,777300.0,9.27,18.19,765370.0,9.13,56.51,2596612.0,30.97,98.11,0.76,0.76,0.45,0.41,22.82,145.37,0.0
100.0,4906353.0,1041088100.0,1048030740000.0,793975.0,9.28,18.58,755055.0,8.82,51.56,2720170.0,31.79,100.65,0.74,0.74,0.46,0.42,23.35,142.8,0.0
101.0,4810937.0,1074069000.0,1071336460000.0,782366.0,9.55,19.27,805347.0,9.83,121.48,2641904.0,32.26,100.61,0.73,0.73,0.46,0.42,24.29,141.91,0.0
102.0,3621996.0,715624900.0,703971300000.0,694339.0,9.01,16.15,725774.0,9.42,50.85,2129392.0,27.64,75.9,0.75,0.75,0.43,0.4,18.12,162.27,0.0
103.0,3262912.0,605430900.0,582042000000.0,671531.0,9.02,15.93,855664.0,11.49,143.24,1895085.0,25.45,69.64,0.78,0.78,0.41,0.39,16.14,171.86,0.0
104.0,3368965.0,661066940.0,644366140000.0,678790.0,9.01,16.37,871958.0,11.57,119.47,1949771.0,25.87,72.2,0.78,0.78,0.41,0.38,16.34,171.88,0.0
105.0,4831959.0,1056350300.0,1058161500000.0,797861.0,9.82,19.52,793539.0,9.77,56.01,2669050.0,32.85,105.74,0.74,0.74,0.45,0.41,21.97,148.7,0.0
106.0,5849039.0,1222253800.0,1226745400000.0,839122.0,9.82,19.52,1156472.0,13.54,283.1,2910980.0,34.08,110.59,0.73,0.73,0.47,0.42,23.89,142.28,0.0
107.0,5211107.0,1151724800.0,1158214000000.0,813911.0,9.75,19.47,862037.0,10.32,78.65,2800631.0,33.53,108.18,0.73,0.73,0.45,0.41,23.89,144.45,0.0
108.0,4571758.0,957528450.0,965851800000.0,781693.0,9.75,23.56,830060.0,10.35,82.69,2545443.0,31.75,107.39,0.75,0.75,0.43,0.39,23.15,148.8,0.0
109.0,4254794.0,965612800.0,955656000000.0,792738.0,9.83,19.62,747215.0,9.26,41.58,2434071.0,30.18,92.83,0.76,0.75,0.41,0.38,20.79,152.82,0.0
110.0,5431647.0,1259002500.0,1265014300000.0,875186.0,10.25,19.36,983534.0,11.52,146.86,2883945.0,33.78,105.41,0.73,0.73,0.44,0.4,22.28,145.88,0.0
111.0,5072549.0,1158576400.0,1146215200000.0,839758.0,9.81,19.42,836440.0,9.77,49.76,2804331.0,32.77,104.17,0.72,0.72,0.46,0.42,24.49,139.42,0.0
112.0,5012897.0,1017200500.0,992331300000.0,833074.0,9.84,23.81,961520.0,11.36,97.09,2734405.0,32.31,117.55,0.74,0.74,0.44,0.41,23.27,146.89,0.0
113.0,5342242.0,1122056700.0,1112007000000.0,796909.0,9.63,19.51,1145384.0,13.83,197.62,2745511.0,33.16,105.42,0.74,0.73,0.45,0.41,26.65,136.42,0.0
114.0,4774649.0,1076986100.0,1045112750000.0,759889.0,9.29,19.02,846546.0,10.34,104.69,2613155.0,31.93,101.94,0.73,0.73,0.45,0.41,27.29,134.94,0.0
115.0,4743910.0,1060882240.0,1037710900000.0,730988.0,9.06,20.05,793075.0,9.83,80.45,2585921.0,32.05,104.77,0.7,0.7,0.5,0.46,28.34,123.45,0.0
116.0,3803546.0,821725700.0,804952500000.0,664267.0,8.63,18.39,730457.0,9.49,148.97,2202863.0,28.63,85.51,0.69,0.69,0.51,0.47,27.36,123.44,0.0
117.0,3858240.0,902549570.0,909566900000.0,673102.0,8.6,17.73,755437.0,9.65,165.54,2217287.0,28.33,86.24,0.68,0.69,0.5,0.46,28.61,122.97,0.0
118.0,3895429.0,899155900.0,895908840000.0,690307.0,8.7,18.54,734192.0,9.25,65.89,2274623.0,28.65,89.95,0.69,0.69,0.5,0.46,27.73,127.13,0.0
119.0,4223123.0,921630340.0,925038100000.0,739090.0,9.13,19.26,817720.0,10.1,73.3,2483018.0,30.66,94.42,0.71,0.71,0.5,0.45,25.91,128.55,0.0
120.0,4559281.0,958433340.0,958033600000.0,739052.0,9.09,19.71,930995.0,11.46,90.55,2566617.0,31.58,101.08,0.7,0.7,0.49,0.45,27.31,126.76,0.0
121.0,3811150.0,860007400.0,867504900000.0,673285.0,8.62,18.11,711626.0,9.11,64.31,2271848.0,29.08,87.99,0.7,0.7,0.5,0.46,28.73,124.43,0.0
122.0,4840837.0,1132854500.0,1131707800000.0,775090.0,9.49,20.01,796405.0,9.75,64.34,2728972.0,33.42,103.66,0.69,0.69,0.49,0.45,28.03,124.03,0.0
123.0,4017472.0,882631040.0,881283000000.0,699230.0,9.1,18.26,721592.0,9.4,77.37,2367716.0,30.83,89.39,0.68,0.68,0.5,0.46,27.28,122.81,0.0
124.0,4398677.0,961242430.0,961707600000.0,683333.0,8.94,18.3,991711.0,12.98,326.41,2289365.0,29.96,89.35,0.68,0.68,0.5,0.46,27.2,123.41,0.0
125.0,3996691.0,871504400.0,872794900000.0,693336.0,9.09,18.75,764147.0,10.02,114.58,2244523.0,29.43,89.74,0.7,0.7,0.48,0.44,25.09,137.98,0.0
126.0,3644194.0,719932100.0,706853140000.0,708593.0,9.19,17.98,719017.0,9.32,64.91,2180209.0,28.27,83.54,0.74,0.73,0.46,0.43,21.53,150.05,0.0
127.0,3946572.0,852139200.0,848461370000.0,717090.0,9.01,17.4,749177.0,9.41,49.58,2295055.0,28.84,84.81,0.74,0.74,0.45,0.42,20.71,148.85,0.0
128.0,4415256.0,1023545600.0,1035814400000.0,755626.0,9.22,17.95,754603.0,9.21,45.52,2542091.0,31.03,91.47,0.73,0.73,0.46,0.42,23.62,140.78,0.0
129.0,4041701.0,974966600.0,969571000000.0,679508.0,9.0,18.57,709117.0,9.39,58.25,2380764.0,31.53,93.25,0.68,0.68,0.5,0.46,27.48,122.97,0.0
130.0,3584914.0,825886900.0,812045200000.0,648431.0,8.7,17.05,686329.0,9.21,84.94,2159481.0,28.98,82.96,0.68,0.68,0.5,0.46,25.87,125.81,0.0
131.0,3152458.0,765342300.0,758229900000.0,608869.0,8.21,16.3,640386.0,8.64,75.32,1913823.0,25.81,72.94,0.68,0.68,0.5,0.46,26.94,125.47,0.0
132.0,4649511.0,1159677300.0,1169793600000.0,721535.0,8.99,19.12,847235.0,10.56,97.1,2534455.0,31.59,100.13,0.69,0.69,0.49,0.45,26.79,124.92,0.0
133.0,6584023.0,1317840100.0,1318854100000.0,803604.0,9.84,22.12,1477464.0,18.08,337.51,3108895.0,38.05,124.7,0.7,0.7,0.49,0.45,27.01,125.45,0.0
134.0,5983350.0,1211987600.0,1254400100000.0,728478.0,9.11,19.96,1333403.0,16.67,471.54,2801089.0,35.02,112.33,0.7,0.69,0.5,0.45,27.91,122.56,0.0
135.0,5437311.0,1285239800.0,1332437000000.0,746942.0,9.24,20.65,908452.0,11.23,177.19,2880453.0,35.62,116.11,0.7,0.7,0.5,0.45,28.47,123.37,0.0
136.0,5458686.0,1427795500.0,1475830600000.0,771682.0,9.48,20.48,754471.0,9.27,45.32,3005720.0,36.94,119.62,0.7,0.7,0.49,0.45,27.06,125.52,0.0
137.0,4765429.0,1280849300.0,1322364200000.0,756571.0,9.53,19.52,790488.0,9.96,87.6,2702896.0,34.06,102.11,0.7,0.7,0.48,0.44,26.21,128.99,0.0
138.0,4668151.0,1182085500.0,1195345800000.0,734531.0,9.17,19.06,793466.0,9.9,94.54,2592145.0,32.35,97.94,0.69,0.69,0.49,0.45,27.21,123.87,0.0
139.0,5360297.0,1316532000.0,1339174200000.0,781650.0,9.35,20.02,842053.0,10.07,90.16,2885986.0,34.51,112.25,0.69,0.69,0.49,0.45,28.88,122.71,0.0
140.0,5745995.0,1401450900.0,1424088400000.0,785968.0,9.65,21.04,753349.0,9.25,53.05,3108813.0,38.15,125.51,0.7,0.7,0.5,0.45,27.64,124.3,0.0
141.0,5947239.0,1397295000.0,1453755700000.0,815660.0,9.78,20.79,804293.0,9.64,47.19,3131410.0,37.53,125.45,0.71,0.71,0.48,0.44,23.64,135.36,0.0
142.0,5311325.0,1282577900.0,1332098200000.0,794116.0,9.74,20.0,754616.0,9.26,54.21,2925414.0,35.88,115.18,0.71,0.71,0.48,0.44,22.32,139.87,0.0
143.0,5704622.0,1501015400.0,1549113000000.0,784529.0,9.72,20.68,834100.0,10.33,159.19,3022664.0,37.44,119.56,0.7,0.7,0.48,0.44,24.86,130.73,0.0
144.0,3827683.0,969389950.0,1011993800000.0,646613.0,8.6,17.04,804791.0,10.7,201.18,2190571.0,29.12,82.78,0.7,0.7,0.49,0.45,25.54,130.21,0.0
145.0,3386345.0,807537300.0,812364860000.0,611641.0,8.13,16.56,674233.0,8.96,162.9,2015031.0,26.79,80.04,0.69,0.69,0.49,0.46,26.24,130.43,0.0
